date,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count
2019-05-28,46,0.1328,0.8625,-0.714,15,21,12
2019-05-29,54,-0.0941,0.7184,-0.7897,10,29,24
2019-05-30,50,-0.0498,0.7003,-0.8519,19,23,23
2019-05-31,35,0.0526,0.7717,-0.7783,10,18,12
2019-06-01,9,-0.2951,0.3818,-0.6124,4,3,6
2019-06-02,21,-0.0034,0.5719,-0.8934,5,13,7
2019-06-03,67,0.079,0.891,-0.8481,29,28,21
2019-06-04,70,0.0601,0.7783,-0.7906,17,34,22
2019-06-05,30,0.1197,0.8225,-0.5994,12,13,8
2019-06-06,105,-0.1032,0.836,-0.8705,26,48,48
2019-06-07,58,0.0168,0.75,-0.7351,19,23,21
2019-06-08,30,0.1045,0.872,-0.6369,8,15,8
2019-06-09,19,-0.0933,0.7717,-0.8519,8,3,7
2019-06-10,20,-0.0554,0.6908,-0.6779,9,4,7
2019-06-11,29,0.01,0.8658,-0.9136,9,10,8
2019-06-12,28,-0.0161,0.7269,-0.6249,7,11,9
2019-06-13,45,0.035,0.6037,-0.7579,7,22,12
2019-06-14,76,-0.021,0.8455,-0.8225,14,34,26
2019-06-15,9,-0.035,0.7351,-0.7269,3,3,3
2019-06-16,8,-0.334,0.0,-0.68,3,2,5
2019-06-17,30,-0.0447,0.5106,-0.8548,7,16,12
2019-06-18,53,0.0701,0.7351,-0.765,9,24,12
2019-06-19,65,-0.0205,0.8176,-0.836,12,30,23
2019-06-20,46,0.0419,0.8126,-0.6249,9,18,9
2019-06-21,39,-0.0003,0.6369,-0.5994,10,18,13
2019-06-22,23,0.0456,0.7297,-0.7579,3,10,5
2019-06-23,19,-0.2105,0.0,-0.5994,2,8,10
2019-06-24,71,0.0138,0.8316,-0.6808,13,34,26
2019-06-25,36,0.1265,0.7269,-0.5677,7,21,9
2019-06-26,61,0.0932,0.7184,-0.8176,13,30,16
2019-06-27,42,0.0776,0.8,-0.8126,6,19,9
2019-06-28,53,-0.0413,0.8126,-0.7906,12,23,19
2019-06-29,27,-0.0714,0.6369,-0.7096,6,14,12
2019-06-30,10,-0.1604,0.6249,-0.7964,3,5,6
2019-07-01,41,-0.0449,0.743,-0.8316,14,15,17
2019-07-02,46,0.0664,0.8271,-0.7003,11,19,12
2019-07-03,65,0.1019,0.8228,-0.6249,15,27,14
2019-07-04,55,0.1139,0.7906,-0.6705,11,25,15
2019-07-05,93,0.0827,0.8176,-0.8176,20,37,19
2019-07-06,24,0.0799,0.6486,-0.6124,4,13,6
2019-07-07,13,0.1103,0.6249,-0.5994,3,3,1
2019-07-08,38,0.0249,0.8316,-0.7506,5,17,10
2019-07-09,52,0.0132,0.7555,-0.7783,7,29,19
